PHASE 4 IMAGE MAPPING
======================================================================

Internal | External | Source        | Original File
     592 |      606 | official_1931 | 606.png
     593 |      607 | official_1931 | 607.png
     594 |      608 | official_1931 | 608.png
     595 |      609 | official_1931 | 609.png
     596 |      610 | official_1931 | 610.png
     597 |      611 | official_1931 | 611.png
     598 |      612 | official_1931 | 612.png
     599 |      613 | official_1931 | 613.png
     600 |      614 | official_1931 | 614.png
     601 |      615 | official_1931 | 615.png
     602 |      616 | official_1931 | 616.png
     603 |      617 | official_1931 | 617.png
     604 |      618 | official_1931 | 618.png
     605 |      619 | official_1931 | 619.png
     606 |      620 | official_1931 | 620.png
     607 |      621 | official_1931 | 621.png
     608 |      622 | official_1931 | 622.png
     609 |      623 | official_1931 | 623.png
     610 |      624 | official_1931 | 624.png
     611 |      625 | official_1931 | 625.png
     612 |      626 | official_1931 | 626.png
     613 |      627 | official_1931 | 627.png
     614 |      628 | official_1931 | 628.png
     615 |      629 | official_1931 | 629.png
     616 |      630 | official_1931 | 630.png
     617 |      631 | official_1931 | 631.png
     618 |      632 | official_1931 | 632.png
     619 |      633 | official_1931 | 633.png
     620 |      634 | official_1931 | 634.png
     621 |      635 | official_1931 | 635.png
     622 |      636 | official_1931 | 636.png
     623 |      637 | official_1931 | 637.png
     624 |      638 | official_1931 | 638.png
     625 |      639 | official_1931 | 639.png
     626 |      640 | official_1931 | 640.png
     627 |      641 | official_1931 | 641.png
     628 |      642 | official_1931 | 642.png
     629 |      643 | official_1931 | 643.png
     630 |      644 | official_1931 | 644.png
     631 |      645 | official_1931 | 645.png
     632 |      646 | official_1931 | 646.png
     633 |      647 | official_1931 | 647.png
     634 |      648 | official_1931 | 648.png
     635 |      649 | official_1931 | 649.png
     636 |      650 | official_1931 | 650.png
     637 |      651 | official_1931 | 651.png
     638 |      652 | official_1931 | 652.png
     639 |      653 | official_1931 | 653.png
     640 |      654 | official_1931 | 654.png
     641 |      655 | official_1931 | 655.png
     642 |      656 | official_1931 | 656.png
     643 |      657 | official_1931 | 657.png
     644 |      658 | official_1931 | 658.png
     645 |      659 | official_1931 | 659.png
     646 |      660 | official_1931 | 660.png
     647 |      661 | official_1931 | 661.png
     648 |      662 | official_1931 | 662.png
     649 |      663 | official_1931 | 663.png
     650 |      664 | official_1931 | 664.png
     651 |      665 | official_1931 | 665.png
     652 |      666 | official_1931 | 666.png
     653 |      667 | official_1931 | 667.png
     654 |      668 | official_1931 | 668.png
     655 |      669 | official_1931 | 669.png
     656 |      670 | official_1931 | 670.png
     657 |      671 | official_1931 | 671.png
     658 |      672 | official_1931 | 672.png
     659 |      673 | official_1931 | 673.png
     660 |      674 | official_1931 | 674.png
     661 |      675 | official_1931 | 675.png
     662 |      676 | official_1931 | 676.png
     663 |      677 | official_1931 | 677.png
     664 |      678 | official_1931 | 678.png
     665 |      679 | official_1931 | 679.png
     666 |      680 | official_1931 | 680.png
     667 |      681 | official_1931 | 681.png
     668 |      682 | official_1931 | 682.png
     669 |      683 | official_1931 | 683.png
     670 |      684 | official_1931 | 684.png
     671 |      685 | official_1931 | 685.png
     672 |      686 | official_1931 | 686.png
     673 |      687 | official_1931 | 687.png
     674 |      688 | official_1931 | 688.png
     675 |      689 | official_1931 | 689.png
     676 |      690 | official_1931 | 690.png
     677 |      691 | official_1931 | 691.png
     678 |      692 | official_1931 | 692.png
     679 |      693 | official_1931 | 693.png
     680 |      694 | official_1931 | 694.png
     681 |      695 | official_1931 | 695.png
     682 |      696 | official_1931 | 696.png
     683 |      697 | official_1931 | 697.png
     684 |      698 | official_1931 | 698.png
     685 |      699 | official_1931 | 699.png
     686 |      700 | official_1931 | 700.png
     687 |      701 | official_1931 | 701.png
     688 |      702 | official_1931 | 702.png
     689 |      703 | official_1931 | 703.png
     690 |      704 | official_1931 | 704.png
     691 |      705 | official_1931 | 705.png
     692 |      706 | official_1931 | 706.png
     693 |      707 | official_1931 | 707.png
     694 |      708 | official_1931 | 708.png
     695 |      709 | official_1931 | 709.png
     696 |      710 | official_1931 | 710.png
     697 |      711 | official_1931 | 711.png
     698 |      712 | official_1931 | 712.png
     699 |      713 | official_1931 | 713.png
     700 |      714 | official_1931 | 714.png
     701 |      715 | official_1931 | 715.png
     702 |      716 | official_1931 | 716.png
     703 |      717 | official_1931 | 717.png
     704 |      718 | official_1931 | 718.png
     705 |      719 | official_1931 | 719.png
     706 |      720 | official_1931 | 720.png
     707 |      721 | official_1931 | 721.png
     708 |      722 | official_1931 | 722.png
     709 |      723 | official_1931 | 723.png
     710 |      724 | official_1931 | 724.png
     711 |      725 | official_1931 | 725.png
     712 |      726 | official_1931 | 726.png
     713 |      727 | official_1931 | 727.png
     714 |      728 | official_1931 | 728.png
     715 |      729 | official_1931 | 729.png
     716 |      730 | official_1931 | 730.png
     717 |      731 | official_1931 | 731.png
     718 |      732 | official_1931 | 732.png
